"Number_of_reads_in_clusters"	300092
"Number_of_clusters"	100627
"Number_of_superclusters"	100616
"Number_of_singlets"	25514
"Number_of_analyzed_reads"	325606

"Cluster"	"Supercluster"	"Size"	"Size_adjusted"	"Automatic_annotation"	"TAREAN_annotation"	"Final_annotation"
1	1	32813	32813	"All/repeat/mobile_element/Class_I/LTR"	"Other"	""
2	3	8036	8036	"All/repeat/satellite"	"Putative satellites (low confidence)"	""
3	1	5820	5820	"All/repeat/mobile_element/Class_I/LTR"	"Other"	""
4	2	4022	4022	"All/repeat/mobile_element/Class_I/LINE"	"Other"	""
5	2	3824	3824	"All/repeat/mobile_element/Class_I/LINE"	"Other"	""
6	2	3626	3626	"All/repeat/mobile_element/Class_I/LINE"	"Other"	""
7	3	3407	3407	"All/repeat/satellite"	"Putative satellites (low confidence)"	""
8	2	3331	3331	"All/repeat/mobile_element/Class_I/LINE"	"Other"	""
9	2	3097	3097	"All/repeat/mobile_element/Class_I/LINE"	"Other"	""
10	2	2976	2976	"All/repeat/mobile_element/Class_I/LINE"	"Other"	""
11	2	2410	2410	"All/repeat/mobile_element/Class_I/LINE"	"Other"	""
12	2	2324	2324	"All/repeat/mobile_element/Class_I/LINE"	"Other"	""
13	4	2310	2310	"All/organelle/mitochondria"	"Other"	""
14	2	1975	1975	"All/repeat/mobile_element/Class_I/LINE"	"Other"	""
15	5	1914	1914	"All/repeat/satellite"	"Putative satellites (low confidence)"	""
16	3	1580	1580	"All/repeat/satellite"	"Putative satellites (low confidence)"	""
17	6	1190	1190	"All"	"Other"	""
18	7	1118	1118	"All"	"Other"	""
19	8	918	918	"All/repeat/satellite"	"Putative satellites (low confidence)"	""
20	9	840	840	"All"	"Other"	""
21	10	640	640	"All/organelle/mitochondria"	"Other"	""
22	11	489	489	"All"	"Other"	""
23	12	467	467	"All"	"Other"	""
24	13	286	286	"All"	"Other"	""
25	14	277	277	"All"	"Other"	""
26	15	249	249	"All"	"Other"	""
27	16	239	239	"All"	"Other"	""
28	17	210	210	"All"	"Other"	""
29	18	107	107	"All"	"Other"	""
30	19	88	88	"All"	"Other"	""
31	20	84	84	"All/repeat/mobile_element/Class_I/LINE"	"Other"	""
32	21	74	74	"All"	"Other"	""
33	22	72	72	"All"	"Other"	""
34	23	71	71	"All/repeat/mobile_element/Class_I/LINE"	"Other"	""
35	24	67	67	"All"	"Other"	""
36	25	58	58	"All"	"Other"	""
37	26	55	55	"All"	"Other"	""
38	27	54	54	"All"	"Other"	""
39	28	51	51	"All"	"Other"	""
40	29	50	50	"All"	"Other"	""
41	30	49	49	"All/repeat/mobile_element/Class_I/LTR/Retrovirus"	"Other"	""
42	31	48	48	"All"	"Other"	""
43	32	45	45	"All"	"Other"	""
44	33	45	45	"All"	"Other"	""
45	34	43	43	"All"	"Other"	""
46	35	42	42	"All/organelle/mitochondria"	"Other"	""
47	36	37	37	"All"	"Other"	""
48	37	36	36	"All"	"Other"	""
49	38	36	36	"All"	"Other"	""
50	39	35	35	"All"	"Other"	""
51	40	34	34	"All"	"Other"	""
