"Number_of_reads_in_clusters"	128117
"Number_of_clusters"	13519
"Number_of_superclusters"	13514
"Number_of_singlets"	4133
"Number_of_analyzed_reads"	132250

"Cluster"	"Supercluster"	"Size"	"Size_adjusted"	"Automatic_annotation"	"TAREAN_annotation"	"Final_annotation"
1	1	4177	4177	"All/repeat"	"Other"	""
2	1	3662	3662	"All/repeat"	"Putative satellites (low confidence)"	""
3	1	3339	3339	"All/repeat"	"Putative satellites (low confidence)"	""
4	1	2421	2421	"All/repeat"	"Putative satellites (low confidence)"	""
5	1	1129	1129	"All/repeat"	"Other"	""
6	2	1019	1019	"All/repeat/mobile_element/Class_I/LINE"	"Other"	""
7	1	970	970	"All/repeat"	"Putative satellites (low confidence)"	""
8	3	910	910	"All"	"Other"	""
9	4	758	758	"All"	"Other"	""
10	5	583	583	"All/repeat/mobile_element/Class_I/LINE"	"Other"	""
11	6	561	561	"All/repeat/mobile_element/Class_I/LINE"	"Other"	""
12	7	387	387	"All/repeat/satellite"	"Putative satellites (low confidence)"	""
13	8	305	305	"All/repeat/satellite"	"Putative satellites (low confidence)"	""
14	9	252	252	"All"	"Other"	""
15	10	231	231	"All"	"Other"	""
16	11	169	169	"All/repeat/satellite"	"Putative satellites (low confidence)"	""
17	12	166	166	"All"	"Other"	""
18	13	152	152	"All/organelle"	"Other"	""
19	14	146	146	"All"	"Other"	""
20	15	144	144	"All"	"Other"	""
21	16	138	138	"All"	"Other"	""
22	17	137	137	"All"	"Other"	""
23	18	136	136	"All/organelle/mitochondria"	"Other"	""
24	19	126	126	"All"	"Other"	""
25	20	124	124	"All/organelle/mitochondria"	"Other"	""
26	21	124	124	"All"	"Other"	""
27	22	121	121	"All"	"Other"	""
28	23	121	121	"All"	"Other"	""
29	24	117	117	"All"	"Other"	""
30	25	116	116	"All"	"Other"	""
31	26	116	116	"All"	"Other"	""
32	27	113	113	"All/organelle/plastid"	"Other"	""
33	28	113	113	"All"	"Other"	""
34	29	112	112	"All"	"Other"	""
35	30	111	111	"All"	"Other"	""
36	31	110	110	"All"	"Other"	""
37	32	109	109	"All"	"Other"	""
38	33	108	108	"All"	"Other"	""
39	34	108	108	"All"	"Other"	""
40	35	106	106	"All"	"Other"	""
41	36	106	106	"All"	"Other"	""
42	37	103	103	"All/repeat/mobile_element/Class_I/LINE"	"Other"	""
43	38	100	100	"All"	"Other"	""
44	39	99	99	"All"	"Other"	""
45	40	99	99	"All"	"Other"	""
46	41	96	96	"All"	"Other"	""
47	42	96	96	"All"	"Other"	""
48	43	95	95	"All"	"Other"	""
49	44	94	94	"All"	"Other"	""
50	45	94	94	"All"	"Other"	""
51	46	94	94	"All"	"Other"	""
52	47	93	93	"All"	"Other"	""
53	48	92	92	"All"	"Other"	""
54	49	92	92	"All"	"Other"	""
55	50	92	92	"All"	"Other"	""
56	51	89	89	"All"	"Other"	""
57	52	88	88	"All"	"Other"	""
58	53	88	88	"All"	"Other"	""
59	54	88	88	"All"	"Other"	""
60	55	86	86	"All"	"Other"	""
61	56	86	86	"All"	"Other"	""
62	57	84	84	"All"	"Other"	""
63	58	84	84	"All"	"Other"	""
64	59	84	84	"All"	"Other"	""
65	60	83	83	"All"	"Other"	""
66	61	82	82	"All"	"Other"	""
67	62	82	82	"All"	"Other"	""
68	63	81	81	"All"	"Other"	""
69	64	81	81	"All"	"Other"	""
70	65	80	80	"All"	"Other"	""
71	66	80	80	"All"	"Other"	""
72	67	80	80	"All"	"Other"	""
73	68	80	80	"All"	"Other"	""
74	69	79	79	"All"	"Other"	""
75	70	78	78	"All"	"Other"	""
76	71	78	78	"All"	"Other"	""
77	72	77	77	"All"	"Other"	""
78	73	77	77	"All"	"Other"	""
79	74	77	77	"All"	"Other"	""
80	75	77	77	"All"	"Other"	""
81	76	76	76	"All"	"Other"	""
82	77	76	76	"All"	"Other"	""
83	78	76	76	"All"	"Other"	""
84	79	75	75	"All"	"Other"	""
85	80	75	75	"All"	"Other"	""
86	81	75	75	"All"	"Other"	""
87	82	74	74	"All"	"Other"	""
88	83	74	74	"All"	"Other"	""
89	84	73	73	"All"	"Other"	""
90	85	72	72	"All"	"Other"	""
91	86	72	72	"All/repeat/mobile_element/Class_I/LINE"	"Other"	""
92	87	72	72	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy"	"Other"	""
93	88	72	72	"All"	"Other"	""
94	89	71	71	"All"	"Other"	""
95	90	70	70	"All"	"Other"	""
96	91	70	70	"All"	"Other"	""
97	92	70	70	"All"	"Other"	""
98	93	70	70	"All"	"Other"	""
99	94	70	70	"All"	"Other"	""
100	95	69	69	"All"	"Other"	""
101	96	69	69	"All"	"Other"	""
102	97	68	68	"All"	"Other"	""
103	98	68	68	"All"	"Other"	""
104	99	68	68	"All"	"Other"	""
105	100	68	68	"All"	"Other"	""
106	101	68	68	"All/repeat/mobile_element/Class_I/LINE"	"Other"	""
107	102	68	68	"All"	"Other"	""
108	103	68	68	"All"	"Other"	""
109	104	68	68	"All"	"Other"	""
110	105	68	68	"All"	"Other"	""
111	106	67	67	"All"	"Other"	""
112	107	67	67	"All"	"Other"	""
113	108	67	67	"All"	"Other"	""
114	109	67	67	"All/repeat/mobile_element/Class_I/LINE"	"Other"	""
115	110	66	66	"All"	"Other"	""
116	111	66	66	"All/repeat/mobile_element/Class_I/LINE"	"Other"	""
117	112	66	66	"All"	"Other"	""
118	113	66	66	"All"	"Other"	""
119	114	66	66	"All"	"Other"	""
120	115	66	66	"All"	"Other"	""
121	116	66	66	"All"	"Other"	""
122	117	66	66	"All"	"Other"	""
123	118	66	66	"All"	"Other"	""
124	119	65	65	"All/repeat/mobile_element/Class_I/LINE"	"Other"	""
125	120	65	65	"All"	"Other"	""
126	121	65	65	"All"	"Other"	""
127	122	64	64	"All"	"Other"	""
128	123	64	64	"All"	"Other"	""
129	124	64	64	"All"	"Other"	""
130	125	64	64	"All"	"Other"	""
131	126	64	64	"All"	"Other"	""
132	127	64	64	"All"	"Other"	""
133	128	64	64	"All"	"Other"	""
134	129	64	64	"All"	"Other"	""
135	130	64	64	"All"	"Other"	""
136	131	64	64	"All"	"Other"	""
137	132	64	64	"All"	"Other"	""
138	133	64	64	"All"	"Other"	""
139	134	64	64	"All"	"Other"	""
140	135	64	64	"All"	"Other"	""
141	136	63	63	"All"	"Other"	""
142	137	63	63	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy"	"Other"	""
143	138	63	63	"All"	"Other"	""
144	139	62	62	"All"	"Other"	""
145	140	62	62	"All"	"Other"	""
146	141	62	62	"All"	"Other"	""
147	142	62	62	"All"	"Other"	""
148	143	62	62	"All"	"Other"	""
149	144	62	62	"All"	"Other"	""
150	145	62	62	"All"	"Other"	""
151	146	62	62	"All"	"Other"	""
152	147	61	61	"All"	"Other"	""
153	148	60	60	"All"	"Other"	""
154	149	60	60	"All"	"Other"	""
155	150	60	60	"All"	"Other"	""
156	151	60	60	"All"	"Other"	""
157	152	60	60	"All"	"Other"	""
158	153	60	60	"All"	"Other"	""
159	154	60	60	"All"	"Other"	""
160	155	59	59	"All"	"Other"	""
161	156	59	59	"All"	"Other"	""
162	157	58	58	"All"	"Other"	""
163	158	58	58	"All"	"Other"	""
164	159	58	58	"All"	"Other"	""
165	160	58	58	"All"	"Other"	""
166	161	58	58	"All"	"Other"	""
167	162	58	58	"All"	"Other"	""
168	163	58	58	"All"	"Other"	""
169	164	58	58	"All"	"Other"	""
170	165	58	58	"All/organelle/plastid"	"Other"	""
171	166	58	58	"All/organelle/mitochondria"	"Other"	""
172	167	58	58	"All"	"Other"	""
173	168	58	58	"All"	"Other"	""
174	169	58	58	"All"	"Other"	""
175	170	57	57	"All"	"Other"	""
176	171	57	57	"All"	"Other"	""
177	172	57	57	"All"	"Other"	""
178	173	56	56	"All"	"Other"	""
179	174	56	56	"All/repeat/mobile_element/Class_I/LINE"	"Other"	""
180	175	56	56	"All"	"Other"	""
181	176	56	56	"All"	"Other"	""
182	177	56	56	"All"	"Other"	""
183	178	56	56	"All/organelle/plastid"	"Other"	""
184	179	56	56	"All"	"Other"	""
185	180	56	56	"All"	"Other"	""
186	181	56	56	"All/organelle/mitochondria"	"Other"	""
187	182	56	56	"All"	"Other"	""
188	183	56	56	"All"	"Other"	""
189	184	56	56	"All"	"Other"	""
190	185	56	56	"All"	"Other"	""
191	186	55	55	"All"	"Other"	""
192	187	55	55	"All"	"Other"	""
193	188	55	55	"All"	"Other"	""
194	189	55	55	"All"	"Other"	""
195	190	54	54	"All"	"Other"	""
196	191	54	54	"All"	"Other"	""
197	192	54	54	"All"	"Other"	""
198	193	54	54	"All"	"Other"	""
199	194	54	54	"All"	"Other"	""
200	195	54	54	"All"	"Other"	""
201	196	54	54	"All/organelle"	"Other"	""
202	197	54	54	"All"	"Other"	""
203	198	54	54	"All"	"Other"	""
204	199	54	54	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy"	"Other"	""
205	200	54	54	"All"	"Other"	""
206	201	54	54	"All"	"Other"	""
207	202	54	54	"All"	"Other"	""
208	203	54	54	"All"	"Other"	""
209	204	54	54	"All"	"Other"	""
210	205	54	54	"All"	"Other"	""
211	206	54	54	"All"	"Other"	""
212	207	54	54	"All"	"Other"	""
213	208	54	54	"All"	"Other"	""
214	209	53	53	"All"	"Other"	""
215	210	53	53	"All"	"Other"	""
216	211	52	52	"All"	"Other"	""
217	212	52	52	"All"	"Other"	""
218	213	52	52	"All"	"Other"	""
219	214	52	52	"All"	"Other"	""
220	215	52	52	"All/organelle/mitochondria"	"Other"	""
221	216	52	52	"All"	"Other"	""
222	217	52	52	"All"	"Other"	""
223	218	52	52	"All/organelle/mitochondria"	"Other"	""
224	219	52	52	"All"	"Other"	""
225	220	52	52	"All"	"Other"	""
226	221	52	52	"All"	"Other"	""
227	222	52	52	"All"	"Other"	""
228	223	52	52	"All/repeat/mobile_element/Class_I/LTR/Ty1_copia"	"Other"	""
229	224	52	52	"All"	"Other"	""
230	225	52	52	"All"	"Other"	""
231	226	51	51	"All"	"Other"	""
232	227	51	51	"All"	"Other"	""
233	228	51	51	"All"	"Other"	""
234	229	51	51	"All"	"Other"	""
235	230	51	51	"All"	"Other"	""
236	231	51	51	"All"	"Other"	""
237	232	51	51	"All"	"Other"	""
238	233	50	50	"All/repeat/satellite"	"Putative satellites (low confidence)"	""
239	234	50	50	"All"	"Other"	""
240	235	50	50	"All"	"Other"	""
241	236	50	50	"All"	"Other"	""
242	237	50	50	"All"	"Other"	""
243	238	50	50	"All"	"Other"	""
244	239	50	50	"All"	"Other"	""
245	240	50	50	"All"	"Other"	""
246	241	50	50	"All"	"Other"	""
247	242	50	50	"All"	"Other"	""
248	243	50	50	"All"	"Other"	""
249	244	50	50	"All"	"Other"	""
250	245	50	50	"All"	"Other"	""
251	246	50	50	"All"	"Other"	""
252	247	50	50	"All"	"Other"	""
253	248	50	50	"All"	"Other"	""
254	249	50	50	"All"	"Other"	""
255	250	50	50	"All"	"Other"	""
256	251	49	49	"All"	"Other"	""
257	252	49	49	"All"	"Other"	""
258	253	49	49	"All"	"Other"	""
259	254	49	49	"All"	"Other"	""
260	255	48	48	"All"	"Other"	""
261	256	48	48	"All"	"Other"	""
262	257	48	48	"All"	"Other"	""
263	258	48	48	"All"	"Other"	""
264	259	48	48	"All"	"Other"	""
265	260	48	48	"All"	"Other"	""
266	261	48	48	"All"	"Other"	""
267	262	48	48	"All"	"Other"	""
268	263	48	48	"All"	"Other"	""
269	264	48	48	"All"	"Other"	""
