"Number_of_reads_in_clusters"	274319
"Number_of_clusters"	18959
"Number_of_superclusters"	18956
"Number_of_singlets"	8283
"Number_of_analyzed_reads"	282602

"Cluster"	"Supercluster"	"Size"	"Size_adjusted"	"Automatic_annotation"	"TAREAN_annotation"	"Final_annotation"
1	2	10053	10053	"All"	"Other"	""
2	1	5127	5127	"All/repeat"	"Putative satellites (low confidence)"	""
3	1	4602	4602	"All/repeat"	"Putative satellites (low confidence)"	""
4	1	4051	4051	"All/repeat"	"Putative satellites (low confidence)"	""
5	1	2997	2997	"All/repeat"	"Other"	""
6	3	2719	2719	"All"	"Other"	""
7	4	1997	1997	"All/repeat/satellite"	"Putative satellites (low confidence)"	""
8	5	1299	1299	"All/repeat/mobile_element/Class_I/LINE"	"Other"	""
9	6	1191	1191	"All/repeat/mobile_element/Class_I/LINE"	"Other"	""
10	7	721	721	"All"	"Other"	""
11	8	692	692	"All/repeat/mobile_element/Class_I/LINE"	"Other"	""
12	9	667	667	"All"	"Other"	""
13	10	626	626	"All"	"Other"	""
14	11	623	623	"All"	"Other"	""
15	12	578	578	"All"	"Other"	""
16	13	556	556	"All/repeat/mobile_element/Class_I/LINE"	"Other"	""
17	14	464	464	"All"	"Other"	""
18	15	447	447	"All"	"Other"	""
19	16	431	431	"All"	"Other"	""
20	17	424	424	"All/repeat/satellite"	"Putative satellites (low confidence)"	""
21	18	388	388	"All"	"Other"	""
22	19	382	382	"All/repeat/satellite"	"Putative satellites (low confidence)"	""
23	20	345	345	"All"	"Other"	""
24	21	302	302	"All"	"Other"	""
25	22	251	251	"All"	"Other"	""
26	23	237	237	"All"	"Other"	""
27	24	229	229	"All"	"Other"	""
28	25	226	226	"All"	"Other"	""
29	26	225	225	"All"	"Other"	""
30	27	214	214	"All"	"Other"	""
31	28	212	212	"All/repeat/mobile_element/Class_I/LINE"	"Other"	""
32	29	210	210	"All"	"Other"	""
33	30	208	208	"All"	"Other"	""
34	31	202	202	"All"	"Other"	""
35	32	200	200	"All"	"Other"	""
36	33	194	194	"All"	"Other"	""
37	34	193	193	"All"	"Other"	""
38	35	192	192	"All"	"Other"	""
39	36	191	191	"All"	"Other"	""
40	37	188	188	"All"	"Other"	""
41	38	186	186	"All"	"Other"	""
42	39	185	185	"All"	"Other"	""
43	40	182	182	"All"	"Other"	""
44	41	179	179	"All/organelle/mitochondria"	"Other"	""
45	42	177	177	"All"	"Other"	""
46	43	176	176	"All"	"Other"	""
47	44	169	169	"All"	"Other"	""
48	45	169	169	"All"	"Other"	""
49	46	168	168	"All"	"Other"	""
50	47	166	166	"All"	"Other"	""
51	48	160	160	"All"	"Other"	""
52	49	160	160	"All"	"Other"	""
53	50	158	158	"All"	"Other"	""
54	51	155	155	"All"	"Other"	""
55	52	151	151	"All"	"Other"	""
56	53	151	151	"All"	"Other"	""
57	54	150	150	"All"	"Other"	""
58	55	150	150	"All"	"Other"	""
59	56	150	150	"All"	"Other"	""
60	57	149	149	"All"	"Other"	""
61	58	148	148	"All/organelle/mitochondria"	"Other"	""
