"Number_of_reads_in_clusters"	282208
"Number_of_clusters"	46549
"Number_of_superclusters"	46547
"Number_of_singlets"	8156
"Number_of_analyzed_reads"	290364

"Cluster"	"Supercluster"	"Size"	"Size_adjusted"	"Automatic_annotation"	"TAREAN_annotation"	"Final_annotation"
1	1	8511	8511	"All"	"Other"	""
2	2	2621	2621	"All/repeat/satellite"	"Putative satellites (low confidence)"	""
3	2	2561	2561	"All/repeat/satellite"	"Putative satellites (low confidence)"	""
4	3	1698	1698	"All"	"Other"	""
5	4	1513	1513	"All/repeat/mobile_element/Class_I/LINE"	"Other"	""
6	2	1374	1374	"All/repeat/satellite"	"Putative satellites (low confidence)"	""
7	5	1328	1328	"All/repeat/satellite"	"Putative satellites (low confidence)"	""
8	6	862	862	"All/repeat/mobile_element/Class_I/LINE"	"Other"	""
9	7	778	778	"All/repeat/rDNA/45S_rDNA/18S_rDNA"	"Other"	""
10	8	648	648	"All"	"Other"	""
11	9	627	627	"All"	"Other"	""
12	10	621	621	"All/repeat/satellite"	"Putative satellites (low confidence)"	""
13	11	542	542	"All/repeat/satellite"	"Putative satellites (high confidence)"	""
14	12	501	501	"All/repeat/rDNA/45S_rDNA/25S_rDNA"	"Other"	""
15	13	439	439	"All/repeat/rDNA/45S_rDNA/18S_rDNA"	"Other"	""
16	14	424	424	"All/repeat/satellite"	"Putative satellites (low confidence)"	""
17	15	401	401	"All"	"Other"	""
18	16	358	358	"All/repeat/mobile_element/Class_I/LINE"	"Other"	""
19	17	334	334	"All"	"Other"	""
20	18	286	286	"All"	"Other"	""
21	19	268	268	"All"	"Other"	""
22	20	263	263	"All"	"Other"	""
23	21	250	250	"All"	"Other"	""
24	22	235	235	"All"	"Other"	""
25	23	221	221	"All/repeat/satellite"	"Putative satellites (low confidence)"	""
26	24	183	183	"All"	"Other"	""
27	25	183	183	"All"	"Other"	""
28	26	163	163	"All"	"Other"	""
29	27	157	157	"All/repeat/rDNA/45S_rDNA/25S_rDNA"	"Other"	""
30	28	141	141	"All"	"Other"	""
31	29	137	137	"All/repeat/satellite"	"Putative satellites (low confidence)"	""
32	30	123	123	"All"	"Other"	""
33	31	120	120	"All/repeat/rDNA/45S_rDNA/25S_rDNA"	"Other"	""
34	32	118	118	"All"	"Other"	""
35	33	107	107	"All"	"Other"	""
36	34	103	103	"All"	"Other"	""
37	35	101	101	"All"	"Other"	""
38	36	100	100	"All/organelle/mitochondria"	"Other"	""
39	37	98	98	"All"	"Other"	""
40	38	96	96	"All"	"Other"	""
41	39	93	93	"All"	"Other"	""
42	40	92	92	"All"	"Other"	""
43	41	91	91	"All"	"Other"	""
44	42	89	89	"All"	"Other"	""
45	43	88	88	"All"	"Other"	""
46	44	85	85	"All"	"Other"	""
47	45	85	85	"All"	"Other"	""
48	46	85	85	"All"	"Other"	""
49	47	84	84	"All"	"Other"	""
50	48	83	83	"All"	"Other"	""
51	49	82	82	"All"	"Other"	""
52	50	81	81	"All"	"Other"	""
53	51	80	80	"All/organelle/mitochondria"	"Other"	""
54	52	80	80	"All"	"Other"	""
55	53	79	79	"All"	"Other"	""
56	54	78	78	"All"	"Other"	""
57	55	77	77	"All/organelle"	"Other"	""
58	56	76	76	"All"	"Other"	""
59	57	76	76	"All"	"Other"	""
60	58	76	76	"All"	"Other"	""
