"Number_of_reads_in_clusters"	303487
"Number_of_clusters"	32920
"Number_of_superclusters"	32916
"Number_of_singlets"	5837
"Number_of_analyzed_reads"	309324

"Cluster"	"Supercluster"	"Size"	"Size_adjusted"	"Automatic_annotation"	"TAREAN_annotation"	"Final_annotation"
1	2	12641	12641	"All"	"Other"	""
2	1	5036	5036	"All/repeat/satellite"	"Putative satellites (low confidence)"	""
3	1	4290	4290	"All/repeat/satellite"	"Putative satellites (low confidence)"	""
4	1	3850	3850	"All/repeat/satellite"	"Putative satellites (low confidence)"	""
5	4	2535	2535	"All"	"Other"	""
6	3	2148	2148	"All/repeat/mobile_element/Class_I/LINE"	"Other"	""
7	5	1947	1947	"All/repeat/mobile_element/Class_I/LINE"	"Other"	""
8	6	1128	1128	"All/repeat/satellite"	"Putative satellites (low confidence)"	""
9	3	983	983	"All/repeat/mobile_element/Class_I/LINE"	"Other"	""
10	7	589	589	"All/repeat/satellite"	"Putative satellites (low confidence)"	""
11	8	557	557	"All"	"Other"	""
12	1	554	554	"All/repeat/satellite"	"Putative satellites (low confidence)"	""
13	9	484	484	"All"	"Other"	""
14	10	451	451	"All"	"Other"	""
15	11	429	429	"All"	"Other"	""
16	12	417	417	"All"	"Other"	""
17	13	403	403	"All"	"Other"	""
18	14	388	388	"All/repeat/satellite"	"Putative satellites (low confidence)"	""
19	15	334	334	"All"	"Other"	""
20	16	321	321	"All/repeat/rDNA/45S_rDNA/18S_rDNA"	"Other"	""
21	17	305	305	"All/repeat/satellite"	"Putative satellites (low confidence)"	""
22	18	260	260	"All"	"Other"	""
23	19	258	258	"All"	"Other"	""
24	20	251	251	"All"	"Other"	""
25	21	218	218	"All/organelle/plastid"	"Other"	""
26	22	208	208	"All"	"Other"	""
27	23	198	198	"All"	"Other"	""
28	24	193	193	"All"	"Other"	""
29	25	187	187	"All"	"Other"	""
30	26	178	178	"All"	"Other"	""
31	27	171	171	"All"	"Other"	""
32	28	169	169	"All"	"Other"	""
33	29	168	168	"All"	"Other"	""
34	30	160	160	"All"	"Other"	""
35	31	158	158	"All"	"Other"	""
36	32	157	157	"All/repeat/rDNA/45S_rDNA/18S_rDNA"	"Other"	""
37	33	154	154	"All"	"Other"	""
38	34	152	152	"All"	"Other"	""
39	35	151	151	"All"	"Other"	""
40	36	148	148	"All"	"Other"	""
41	37	146	146	"All"	"Other"	""
42	38	142	142	"All/repeat/rDNA/45S_rDNA/25S_rDNA"	"Other"	""
43	39	140	140	"All"	"Other"	""
44	40	139	139	"All"	"Other"	""
45	41	137	137	"All"	"Other"	""
46	42	137	137	"All"	"Other"	""
47	43	135	135	"All"	"Other"	""
48	44	134	134	"All"	"Other"	""
49	45	132	132	"All"	"Other"	""
50	46	132	132	"All"	"Other"	""
51	47	130	130	"All/repeat/rDNA/45S_rDNA/25S_rDNA"	"Other"	""
52	48	129	129	"All"	"Other"	""
53	49	127	127	"All"	"Other"	""
54	50	126	126	"All"	"Other"	""
55	51	125	125	"All"	"Other"	""
56	52	121	121	"All"	"Other"	""
57	53	121	121	"All"	"Other"	""
58	54	118	118	"All"	"Other"	""
59	55	118	118	"All"	"Other"	""
60	56	115	115	"All"	"Other"	""
61	57	113	113	"All"	"Other"	""
62	58	110	110	"All"	"Other"	""
63	59	109	109	"All"	"Other"	""
64	60	108	108	"All"	"Other"	""
65	61	108	108	"All"	"Other"	""
66	62	107	107	"All"	"Other"	""
67	63	106	106	"All"	"Other"	""
68	64	106	106	"All"	"Other"	""
69	65	103	103	"All"	"Other"	""
70	66	102	102	"All"	"Other"	""
71	67	101	101	"All"	"Other"	""
72	68	101	101	"All"	"Other"	""
73	69	100	100	"All"	"Other"	""
74	70	100	100	"All"	"Other"	""
75	71	100	100	"All"	"Other"	""
76	72	99	99	"All"	"Other"	""
77	73	98	98	"All"	"Other"	""
78	74	97	97	"All"	"Other"	""
79	75	97	97	"All"	"Other"	""
80	76	96	96	"All"	"Other"	""
81	77	96	96	"All"	"Other"	""
82	78	96	96	"All"	"Other"	""
83	79	95	95	"All"	"Other"	""
84	80	95	95	"All"	"Other"	""
85	81	94	94	"All"	"Other"	""
86	82	94	94	"All"	"Other"	""
87	83	94	94	"All"	"Other"	""
88	84	93	93	"All"	"Other"	""
89	85	93	93	"All"	"Other"	""
90	86	91	91	"All"	"Other"	""
91	87	91	91	"All"	"Other"	""
92	88	91	91	"All"	"Other"	""
93	89	91	91	"All"	"Other"	""
94	90	90	90	"All"	"Other"	""
95	91	90	90	"All"	"Other"	""
