"Number_of_reads_in_clusters"	321908
"Number_of_clusters"	8660
"Number_of_superclusters"	8657
"Number_of_singlets"	8608
"Number_of_analyzed_reads"	330516

"Cluster"	"Supercluster"	"Size"	"Size_adjusted"	"Automatic_annotation"	"TAREAN_annotation"	"Final_annotation"
1	1	13177	13177	"All/repeat"	"Putative satellites (low confidence)"	""
2	1	12692	12692	"All/repeat"	"Putative satellites (low confidence)"	""
3	1	10761	10761	"All/repeat"	"Putative satellites (low confidence)"	""
4	2	5584	5584	"All"	"Other"	""
5	1	5242	5242	"All/repeat"	"Other"	""
6	3	2558	2558	"All/repeat/satellite"	"Putative satellites (low confidence)"	""
7	4	1548	1548	"All/repeat/satellite"	"Putative satellites (high confidence)"	""
8	5	1522	1522	"All/repeat/mobile_element/Class_I/LINE"	"Other"	""
9	6	1254	1254	"All"	"Other"	""
10	7	1191	1191	"All"	"Other"	""
11	8	865	865	"All/repeat/satellite"	"Putative satellites (low confidence)"	""
12	9	823	823	"All"	"Other"	""
13	10	682	682	"All"	"Other"	""
14	11	678	678	"All"	"Other"	""
15	12	608	608	"All"	"Other"	""
16	13	606	606	"All"	"Other"	""
17	14	606	606	"All"	"Other"	""
18	15	572	572	"All"	"Other"	""
19	16	569	569	"All"	"Other"	""
20	17	567	567	"All"	"Other"	""
21	18	562	562	"All"	"Other"	""
22	19	556	556	"All"	"Other"	""
23	20	552	552	"All"	"Other"	""
24	21	544	544	"All"	"Other"	""
25	22	527	527	"All"	"Other"	""
26	23	524	524	"All"	"Other"	""
27	24	517	517	"All"	"Other"	""
28	25	515	515	"All"	"Other"	""
29	26	505	505	"All/repeat/mobile_element/Class_I/LINE"	"Other"	""
30	27	503	503	"All"	"Other"	""
31	28	500	500	"All"	"Other"	""
32	29	496	496	"All"	"Other"	""
33	30	491	491	"All"	"Other"	""
34	31	470	470	"All"	"Other"	""
35	32	468	468	"All"	"Other"	""
36	33	465	465	"All/repeat/satellite"	"Putative satellites (low confidence)"	""
37	34	461	461	"All"	"Other"	""
38	35	455	455	"All/repeat/mobile_element/Class_I/LINE"	"Other"	""
39	36	448	448	"All"	"Other"	""
40	37	445	445	"All"	"Other"	""
41	38	439	439	"All"	"Other"	""
42	39	431	431	"All"	"Other"	""
43	40	423	423	"All"	"Other"	""
44	41	422	422	"All"	"Other"	""
45	42	421	421	"All"	"Other"	""
46	43	420	420	"All"	"Other"	""
47	44	404	404	"All"	"Other"	""
48	45	401	401	"All"	"Other"	""
49	46	390	390	"All"	"Other"	""
50	47	386	386	"All"	"Other"	""
51	48	385	385	"All"	"Other"	""
52	49	382	382	"All"	"Other"	""
53	50	377	377	"All"	"Other"	""
54	51	375	375	"All"	"Other"	""
55	52	373	373	"All"	"Other"	""
56	53	372	372	"All"	"Other"	""
57	54	366	366	"All"	"Other"	""
58	55	363	363	"All"	"Other"	""
59	56	363	363	"All"	"Other"	""
60	57	361	361	"All"	"Other"	""
61	58	359	359	"All"	"Other"	""
62	59	358	358	"All"	"Other"	""
63	60	357	357	"All/repeat/mobile_element/Class_I/LTR/Ty3_gypsy"	"Other"	""
64	61	345	345	"All"	"Other"	""
65	62	345	345	"All"	"Other"	""
66	63	342	342	"All"	"Other"	""
67	64	339	339	"All"	"Other"	""
68	65	335	335	"All"	"Other"	""
69	66	330	330	"All"	"Other"	""
70	67	329	329	"All"	"Other"	""
71	68	328	328	"All"	"Other"	""
72	69	323	323	"All"	"Other"	""
73	70	319	319	"All"	"Other"	""
74	71	319	319	"All"	"Other"	""
75	72	316	316	"All"	"Other"	""
76	73	316	316	"All"	"Other"	""
77	74	315	315	"All"	"Other"	""
78	75	313	313	"All"	"Other"	""
79	76	312	312	"All"	"Other"	""
80	77	308	308	"All/repeat/satellite"	"Putative satellites (low confidence)"	""
81	78	307	307	"All"	"Other"	""
82	79	305	305	"All"	"Other"	""
83	80	304	304	"All"	"Other"	""
84	81	303	303	"All"	"Other"	""
85	82	303	303	"All"	"Other"	""
86	83	301	301	"All"	"Other"	""
