sample	chrom	reg_start	reg_end	reg_pos	lg_pd_mean	pd_mean	first_pos_start	last_pos_end	reg_reads	pos_cov_mean	pos_len_mean	pos_len_sum	reg_len	chrom_len	p_expected	p_observed	fold_enrichment	log_ratio	p_value
sv.B3d_S140	CAXWAE020000012.1	2809398	3298744	94	3.443	2773.320104651841	2809398	3293001	375	3.98936170212766	231.22340425531917	21735	489346	3298744	0.0002197986069447	0.00245713090757	11.179010375562624	1.0484033592341873	1.7176498130979174e-63
sv.B3d_S140	CAXWAE020000012.1	331857	2809397	188	3.8026	6347.460398326997	337578	2803715	637	3.3882978723404253	230.92021276595744	43413	2477540	3298744	0.0011128319034997	0.0049142618151401	4.415996521743396	0.645028722649529	2.2259013021105482e-60
sv.B3d_S140	CAXWAE020000012.1	0	331856	74	3.1452	1397.011560541224	14195	331856	682	9.216216216216216	314.6081081081081	23281	331856	3298744	0.0001490591248447	0.0019343370974487	12.976978762377996	1.1131735938853755	9.128348461184334e-55
sv.B3d_S140	CAXWAE020000051.1	1038746	1078897	16	3.0584	1143.9314495393062	1038746	1078897	113	7.0625	260.4375	4167	40151	1280092	1.8034547881131943e-05	0.000418235048097	23.19076978550681	1.3653151646815085	6.566409592769466e-17
sv.B3d_S140	CAXWAE020000363.1	0	84000	15	3.2816	1912.493641844208	1252	83077	63	4.2	239.26666666666668	3589	84000	84000	3.773011934983148e-05	0.0003920953575909	10.392104884574596	1.0167035212984314	4.8673835606179636e-11
sv.B3d_S140	CAXWAE020000051.1	1078898	1280092	10	3.8891	7746.401447537537	1158846	1263798	66	6.6	261.8	2618	201194	1280092	9.036992419607136e-05	0.0002613969050606	2.8925210172081544	0.4612765232415453	0.0030419387109134
sv.B3d_S140	CAXWAE020000208.1	0	257991	11	4.0856	12178.673848912604	1634	251411	44	4.0	20.09090909090909	221	257991	257991	0.0001158813240616	0.0002875365955667	2.4813022969397966	0.394679677571382	0.0059967370896104
sv.B3d_S140	CAXWAE020000084.1	0	815425	24	4.1843	15286.21628027268	66827	674380	253	10.541666666666666	348.375	8361	815425	815425	0.000366262887748	0.0006273525721455	1.7128477744572774	0.233718767722753	0.009402457990456
sv.B3d_S140	CAXWAE020000090.1	0	774774	16	4.3945	24802.75937692957	124260	744319	47	2.9375	22.375	358	774774	774774	0.0003480037558231	0.000418235048097	1.201811880184265	0.0798364927983455	0.2647166894467467
sv.B3d_S140	CAXWAE020000014.1	0	549210	10	3.7124	5157.03406302646	461390	549210	44	4.4	230.6	2306	549210	3200000	0.0002466876053347	0.0002613969050606	1.059627234639168	0.0251531120463954	0.4700144503626389
sv.B3d_S140	CAXWAE020000051.1	0	1038745	15	4.3542	22604.7651846834	25310	1031392	80	5.333333333333333	269.4	4041	1038745	1280092	0.0004665711050481	0.0003920953575909	0.8403764256908731	-0.0755261389600027	0.7819396736673536
sv.B3d_S140	CAXWAE020000014.1	549211	3200000	15	4.9643	92108.561544842	640482	2861285	50	3.333333333333333	194.86666666666667	2923	2650789	3200000	0.0011906498254907	0.0003920953575909	0.3293120690874551	-0.4823923523672523	0.9999999558795384
sv.B3d_S140	CAXWAE020000016.1	0	2788000	11	4.9333	85763.00705241579	486984	2632287	27	2.4545454545454546	165.54545454545453	1821	2788000	2788000	0.0012522806279444	0.0002875365955667	0.229610351825608	-0.6390085359631148	0.9999999999661916
sv.B3d_S140	CAXWAE020000011.1	0	3331000	12	5.1648	146150.3972006163	474525	3196375	49	4.083333333333333	146.75	1761	3331000	3331000	0.0014961788994558	0.0003136762860727	0.2096515905864343	-0.6785018383389201	0.99999999999991
sv.B3d_S140	CAXWAE020000002.1	0	6197419	23	4.6972	49796.63541644851	3538935	6165601	96	4.173913043478261	23.869565217391305	549	6197419	6197419	0.0027836828396537	0.0006012128816394	0.2159775075935979	-0.6655914749445129	1.0
sv.B3d_S140	CAXWAE020000001.1	0	6605000	13	5.2174	164968.11044727283	996506	6100180	44	3.3846153846153846	45.23076923076923	588	6605000	6605000	0.0029667552179242	0.0003398159765788	0.1145412922932673	-0.9410379213390772	1.0
